uid,install_timestamp,free_trial_timestamp,country,language,device_type,os_version,attribution_network,product_price_tier,product_periodicity,product_free_trial_length,onboarding_birth_year,onboarding_gender,net_purchases_15d,net_purchases_1y
xItPo0YLR5xROzpnrVoLzQ==,2019-06-12 23:13:55+00:00,2019-06-12 23:14:59+00:00,TR,en,iPhone 8,12.3.1,Facebook Installs,20,30,7,1979.0,F,6.9,6.900000095367432
SL02/EmaAuTMvpIcO0j8rw==,2019-06-12 23:14:02+00:00,2019-06-12 23:14:33+00:00,US,en,iPhone XR,12.3.1,Facebook Installs,20,30,7,1999.0,F,0.0,0.0
KQKEOsv5n+CSpkzCmrJ0cw==,2019-06-12 23:14:18+00:00,2019-06-12 23:15:11+00:00,DE,de,iPhone XS,12.3.1,Facebook Installs,20,30,7,1990.0,M,0.0,0.0
a19i70QSNZoA+GS6fiqELQ==,2019-06-12 23:15:15+00:00,2019-06-12 23:15:47+00:00,PE,es,iPhone XR,12.3.1,Facebook Installs,20,30,7,1989.0,M,0.0,0.0
D23bylnnPXIGAWYSIzBK9w==,2019-06-12 23:16:33+00:00,2019-06-12 23:19:47+00:00,US,en,iPhone 7,12.3.1,Facebook Installs,20,30,7,1992.0,M,7.0,42.0
u8T6tXVw8IjWa9gvUJWsiw==,2019-06-12 23:16:54+00:00,2019-06-12 23:17:27+00:00,GB,en,iPhone 7,12.1.4,Apple Search Ads,20,30,7,1984.0,F,0.0,0.0
2OFlA5AWnAI3K31qq827Fw==,2019-06-12 23:16:56+00:00,2019-06-12 23:18:02+00:00,GB,en,iPhone 6 Plus,12.3.1,Facebook Installs,6,7,7,1985.0,F,2.05,2.049999952316284
4zzakLwu1eECOsHAd1srFw==,2019-06-12 23:19:01+00:00,2019-06-12 23:20:08+00:00,US,es,iPhone 6,12.2,Facebook Installs,60,365,7,2000.0,M,0.0,0.0
sqgd1uyxvj0V24kbAl3P5w==,2019-06-12 23:19:13+00:00,2019-06-20 02:27:44+00:00,GB,en,iPhone 5C,10.3.3,Facebook Installs,20,30,7,1965.0,F,0.0,0.0
1UCLwBOkSfP5UqjKGCGSJw==,2019-06-12 23:19:33+00:00,2019-06-12 23:19:54+00:00,GB,en,iPhone 8,12.3.1,Snapchat Installs,20,30,7,2002.0,F,0.0,0.0
UTE0jSip8klpiLJvgKBuQw==,2019-06-12 23:19:56+00:00,2019-06-12 23:23:22+00:00,ES,en,iPhone 6S,12.1.2,Facebook Installs,20,30,7,2002.0,?,6.82,13.619999885559082
J20+y1jVoXN53IbYGX/0Lg==,2019-06-12 23:20:57+00:00,2019-06-12 23:25:06+00:00,DE,de,iPhone XS Max,12.3,Facebook Installs,20,30,7,1997.0,M,2.63,5.260000228881836
WDxjx4f13mydBt+g/8h5vA==,2019-06-12 23:21:24+00:00,2019-06-12 23:22:08+00:00,US,en,iPhone 6S,12.3.1,Facebook Installs,20,30,7,2003.0,M,0.0,0.0
RGEg/Bv8R08N5JJgsU59Mw==,2019-06-12 23:22:44+00:00,2019-06-12 23:23:25+00:00,NO,en,iPhone 8,12.3.1,Snapchat Installs,6,7,7,2002.0,M,0.0,2.1700000762939453
9VVEPYK3zA18CNgkkTuURg==,2019-06-12 23:23:17+00:00,2019-06-12 23:24:47+00:00,DE,de,iPhone X,12.3.1,Facebook Installs,20,30,7,1996.0,F,0.0,0.0
atSTvr5CUuFhrdBHML35Ww==,2019-06-12 23:23:26+00:00,2019-06-12 23:23:53+00:00,FR,fr,iPhone XS Max,12.3.1,Facebook Installs,60,365,7,1996.0,M,0.0,0.0
WJB+B3Wc7A5K63eAWC7zzQ==,2019-06-12 23:25:10+00:00,2019-06-12 23:25:33+00:00,NO,en,iPhone XS Max,12.3.1,Facebook Installs,20,30,7,2001.0,F,6.99,41.04999923706055
w46bC+qGAtNUnfrpL0g6Kg==,2019-06-12 23:25:13+00:00,2019-06-12 23:25:58+00:00,FR,en,iPhone 6S,12.3.1,Facebook Installs,20,30,7,1997.0,M,0.0,0.0
J8swulKHQrgERYlV8Or55A==,2019-06-12 23:25:25+00:00,2019-06-12 23:26:07+00:00,FR,fr,iPhone X,12.3.1,Snapchat Installs,20,30,7,2000.0,M,0.0,6.769999980926514
cfMoIgDnaDbHw1uVM0MMhw==,2019-06-12 23:25:30+00:00,2019-06-12 23:25:58+00:00,CL,es,iPhone 8 Plus,12.3.1,Facebook Installs,20,30,7,1997.0,F,0.0,0.0
P3GVyM2qH1vIK5dD0KeDYA==,2019-06-12 23:26:56+00:00,2019-06-12 23:27:34+00:00,US,en,iPhone XR,12.3.1,Facebook Installs,20,30,7,1996.0,M,0.0,0.0
rT6Cdc3gJXpqduCwM937ug==,2019-06-12 23:27:01+00:00,2019-06-12 23:28:19+00:00,DE,de,iPhone 7,12.3.1,Snapchat Installs,60,365,7,1999.0,F,0.0,0.0
V8ici+JZ3Is7ZNDhI4hkaw==,2019-06-12 23:28:04+00:00,2019-06-12 23:29:56+00:00,US,en,iPhone 6,12.3.1,Snapchat Installs,20,30,7,1989.0,M,0.0,0.0
cQ9sfW/isMZlFJoDZ1qpaw==,2019-06-12 23:28:27+00:00,2019-06-12 23:28:48+00:00,GB,en,iPad Pro 10.5-inch,12.3.1,Snapchat Installs,20,30,7,1995.0,M,0.0,0.0
GA8heY2iGmfCKC/EPJl82w==,2019-06-12 23:30:52+00:00,2019-06-12 23:31:17+00:00,AR,en,iPhone X,12.1.2,Facebook Installs,60,365,7,1994.0,F,21.0,21.0
HZTZHPuVHwXkvjN/IR86hg==,2019-06-12 23:30:56+00:00,2019-06-12 23:31:36+00:00,DE,de,iPhone XS,12.3.1,Facebook Installs,20,30,7,1997.0,M,0.0,6.940000057220459
ikmbcQLYxUTyRFTuwKXazA==,2019-06-12 23:31:55+00:00,2019-06-12 23:32:23+00:00,GB,en,iPhone 8,12.3.1,Snapchat Installs,20,30,7,1984.0,F,0.0,0.0
ji9z2Buti4nZeWCVp+PyQg==,2019-06-12 23:32:03+00:00,2019-06-12 23:32:26+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,20,30,7,2002.0,F,0.0,0.0
Qs/H339Nf5jnxgxglOLX4Q==,2019-06-12 23:35:59+00:00,2019-06-12 23:36:51+00:00,GB,en,iPhone 7,12.2,Snapchat Installs,20,30,7,1985.0,M,0.0,0.0
PH7EeIAWN4xYw4Px5E71yg==,2019-06-12 23:36:39+00:00,2019-06-12 23:44:42+00:00,PH,en,iPhone 6,12.3.1,Facebook Installs,6,7,7,1981.0,M,0.75,0.75
1dAFW0Yi5CuVxuT8fr4Qvg==,2019-06-12 23:38:29+00:00,2019-06-12 23:40:34+00:00,GB,en,iPhone XR,12.3.1,Organic,20,30,7,1992.0,M,0.0,0.0
y5hDdB4+kJ8H6KqDI69voA==,2019-06-12 23:39:35+00:00,2019-06-12 23:40:06+00:00,GB,en,iPhone XS Max,12.3.1,Facebook Installs,20,30,7,1997.0,M,0.0,0.0
+rmK76VxIcel9Bw0MDqiGw==,2019-06-12 23:42:58+00:00,2019-06-12 23:47:31+00:00,FR,fr,iPhone 6S,12.3.1,Snapchat Installs,20,30,7,2001.0,F,6.85,85.86000061035156
QaUmjm55VElnwAm5y4uzRg==,2019-06-12 23:43:21+00:00,2019-06-12 23:44:35+00:00,SE,en,iPhone 8 Plus,12.3.1,Facebook Installs,60,365,7,1999.0,F,0.0,0.0
NrFyJYGDh3t4wtIxQ7h9Gg==,2019-06-12 23:46:25+00:00,2019-06-12 23:47:24+00:00,US,en,iPad Air 2,12.3.1,Facebook Installs,6,7,7,2003.0,M,0.0,0.0
H08gYdBYXgW8E1D170AboQ==,2019-06-12 23:46:33+00:00,2019-06-12 23:47:15+00:00,US,en,iPhone XR,12.3.1,Facebook Installs,20,30,7,1989.0,M,0.0,0.0
1HHKbTko3lzVP3MrB5tJwA==,2019-06-12 23:49:19+00:00,2019-06-12 23:51:26+00:00,GB,en,iPhone 6 Plus,12.3.1,Facebook Installs,20,30,7,1993.0,M,0.0,0.0
98wL6iTrCLOTog5GS9b+fQ==,2019-06-12 23:51:07+00:00,2019-06-12 23:52:40+00:00,DE,de,iPhone 6,12.3.1,Snapchat Installs,20,30,7,1995.0,M,0.0,0.0
be6WgOzp49A7nt7VG7NJZA==,2019-06-12 23:52:56+00:00,2019-06-12 23:54:04+00:00,FR,fr,iPhone X,12.3.1,Snapchat Installs,20,30,7,1994.0,M,0.0,0.0
2l42bXmnzZePbbYGDdNitQ==,2019-06-12 23:53:13+00:00,2019-06-12 23:53:58+00:00,GB,en,iPhone 7,12.3.1,Adwords UAC Installs,20,30,7,2003.0,M,0.0,0.0
iUv889zhCCfC7KrOAMcd3A==,2019-06-12 23:54:40+00:00,2019-06-12 23:59:55+00:00,GB,en,iPhone X,11.2.1,Snapchat Installs,20,30,7,1983.0,M,6.58,26.1200008392334
eAE3kZX0hOvEsoIEnMDxzg==,2019-06-12 23:55:42+00:00,2019-06-12 23:56:07+00:00,US,en,iPhone 7 Plus,12.2,Facebook Installs,60,365,7,1999.0,M,0.0,0.0
tOkS2F823wCCCPgZCjFPfA==,2019-06-12 23:56:31+00:00,2019-06-12 23:57:04+00:00,DE,de,iPhone 6S,12.3.1,Facebook Installs,20,30,7,1996.0,F,0.0,0.0
bRZedmfmy4dK96DmOXgl5A==,2019-06-12 23:57:28+00:00,2019-06-12 23:58:18+00:00,ES,es,iPhone X,12.3.1,Facebook Installs,20,30,7,1981.0,M,0.0,0.0
h8PYBoVNUk6Ug3iU5kecmA==,2019-06-12 23:58:40+00:00,2019-06-13 00:01:24+00:00,US,en,iPhone 6,11.4.1,Snapchat Installs,20,30,7,2007.0,F,0.0,0.0
iFFrZLQuR1I6paeC4qSuLQ==,2019-06-13 00:00:03+00:00,2019-06-13 00:01:04+00:00,DK,en,iPhone XS,12.3.1,Snapchat Installs,20,30,7,2003.0,M,0.0,0.0
jBw6te0oHsdU+pGzx+wzog==,2019-06-13 00:01:56+00:00,2019-06-13 00:02:42+00:00,DE,de,iPhone XR,12.3.1,Facebook Installs,20,30,7,1989.0,M,0.0,0.0
tAJ4RkVTFTaYddi6KE81Uw==,2019-06-13 00:04:30+00:00,2019-06-13 01:24:10+00:00,US,en,iPhone 8,12.3.1,Facebook Installs,20,30,7,1975.0,F,7.0,7.0
qRG1FH/sZmdpQgtiT+UWLA==,2019-06-13 00:06:17+00:00,2019-06-13 00:06:40+00:00,DK,en,iPhone 7 Plus,12.3.1,Snapchat Installs,20,30,7,2004.0,M,0.0,0.0
lZVsuG0f7ljeutpbiP/Gfg==,2019-06-13 00:08:30+00:00,2019-06-13 00:09:25+00:00,GB,en,iPhone 6S,12.1.2,Organic,20,30,7,2000.0,F,0.0,0.0
15uhpxT6o9Z7FPlnf2+FzQ==,2019-06-13 00:08:31+00:00,2019-06-13 00:09:54+00:00,FR,fr,iPhone 7,12.3.1,Snapchat Installs,20,30,7,1999.0,M,0.0,0.0
z/D25rSPFLw5FQV3QUSJPw==,2019-06-13 00:10:00+00:00,2019-06-13 00:10:33+00:00,DE,de,iPhone X,12.3.1,Facebook Installs,20,30,7,1993.0,M,0.0,0.0
pLM5QAzrSMhEty8TiP3fEg==,2019-06-13 00:11:50+00:00,2019-06-13 19:57:12+00:00,FR,fr,iPhone XR,12.3.1,Snapchat Installs,20,30,7,2003.0,F,0.0,0.0
P7PysbC8mLaiA0Vx9DT1sA==,2019-06-13 00:12:26+00:00,2019-06-13 00:12:58+00:00,US,en,iPhone 8 Plus,12.3.1,Facebook Installs,20,30,7,1998.0,M,0.0,0.0
JJGRDPhLy7LF32ps2Ayazw==,2019-06-13 00:13:45+00:00,2019-06-13 00:14:26+00:00,GB,en,iPhone 7 Plus,12.3.1,Apple Search Ads,20,30,7,1994.0,F,6.63,6.630000114440918
tJu7eQujQ0VOCwAIVVMAgA==,2019-06-13 00:14:14+00:00,2019-06-13 00:15:53+00:00,GB,en,iPhone 8 Plus,12.3.1,Snapchat Installs,20,30,7,1992.0,F,0.0,0.0
66KeqdiPI5rG72/Q6fnwhg==,2019-06-13 00:14:28+00:00,2019-06-13 00:15:04+00:00,DE,de,iPhone 8 Plus,12.3.1,Facebook Installs,20,30,7,1999.0,F,0.0,0.0
Fcrupjds8fSoCC6YQG9Fiw==,2019-06-13 00:14:32+00:00,2019-06-13 00:23:10+00:00,US,en,iPhone 7 Plus,12.3.1,Organic,20,30,7,1974.0,F,7.0,14.0
kCGk2IZEX93xo8oSqk2F5A==,2019-06-13 00:15:49+00:00,2019-06-13 00:16:18+00:00,GB,en,iPhone XS Max,12.2,Facebook Installs,20,30,7,2001.0,M,6.65,6.650000095367432
NHu5w5LbGSGttNr9yPoLuA==,2019-06-13 00:16:10+00:00,2019-06-13 00:17:32+00:00,DE,de,iPhone 6S,12.3,Organic,20,30,7,,,0.0,0.0
h8+KYqZhJBlT7wTg+lY8jw==,2019-06-13 00:22:46+00:00,2019-06-13 00:23:29+00:00,US,en,iPhone XR,12.3.1,Facebook Installs,20,30,7,1991.0,M,7.0,14.0
G9DeD2oKT8IFdXRNbePXmg==,2019-06-13 00:23:02+00:00,2019-06-15 06:57:01+00:00,MX,es,iPhone 7,12.2,Facebook Installs,20,30,7,1999.0,M,0.0,0.0
wUDymuLW/526r3ObYWvWXg==,2019-06-13 00:24:43+00:00,2019-06-13 10:53:24+00:00,AU,en,iPhone X,12.2,Facebook Installs,20,30,7,1997.0,M,0.0,0.0
MyECt+AQxu+bZunaN/Jc3A==,2019-06-13 00:25:06+00:00,2019-06-13 00:27:42+00:00,ES,es,iPhone 7,12.3.1,Facebook Installs,20,30,7,1986.0,F,0.0,0.0
F3QOesNelSpruszMSC5ebw==,2019-06-13 00:26:45+00:00,2019-06-13 00:27:16+00:00,GB,en,iPhone 8,12.3.1,Facebook Installs,20,30,7,1988.0,M,0.0,0.0
vc5+6dYu2BmEfs+RliCD1Q==,2019-06-13 00:26:50+00:00,2019-06-13 00:28:12+00:00,GB,en,iPhone 7 Plus,12.3.1,Facebook Installs,60,365,7,1963.0,F,0.0,0.0
t3KTxXLv0rSXtLHsVXTw/A==,2019-06-13 00:28:07+00:00,2019-06-13 00:28:51+00:00,SE,en,iPhone X,12.3.1,Organic,20,30,7,1993.0,M,0.0,0.0
6tcjHwioYqnjMNHgGFIzcg==,2019-06-13 00:28:50+00:00,2019-06-13 00:29:36+00:00,US,en,iPhone 7,12.3.1,Facebook Installs,20,30,7,1995.0,M,0.0,0.0
Y2FnWQpsY53ilxkW14ufvQ==,2019-06-13 00:32:25+00:00,2019-06-13 00:33:01+00:00,GB,en,iPhone X,12.3.1,Apple Search Ads,20,30,7,1987.0,F,6.63,72.7300033569336
gyiZoaBV7ojEfIPbl7rhLg==,2019-06-13 00:32:49+00:00,2019-06-13 00:33:27+00:00,GB,en,iPhone 8 Plus,12.3.1,Snapchat Installs,60,365,7,1999.0,F,0.0,0.0
S+9elxikpZoCrf6ogO4j7w==,2019-06-13 00:32:57+00:00,2019-06-13 00:33:38+00:00,GB,en,iPhone 8 Plus,12.3.1,Snapchat Installs,20,30,7,1990.0,M,0.0,0.0
+lGs11e1Fspw7Qi/EryLyQ==,2019-06-13 00:34:55+00:00,2019-06-13 00:35:24+00:00,GB,en,iPhone SE,12.1.2,Organic,20,30,7,1998.0,F,0.0,0.0
bUaa7yu8UQkGJByY6OEdyA==,2019-06-13 00:36:04+00:00,2019-06-13 00:37:20+00:00,US,en,iPhone XR,12.3.1,Facebook Installs,20,30,7,1968.0,F,7.0,21.0
s+sN5Y/4DZ4YfxG1gsAvXg==,2019-06-13 00:38:37+00:00,2019-06-13 00:39:03+00:00,US,en,iPhone 6S,12.3.1,Snapchat Installs,20,30,7,,,7.0,35.0
Q4s5z+Ny2tvDLVkeLBDELA==,2019-06-13 00:39:08+00:00,2019-06-13 00:39:31+00:00,CA,en,iPad 6,12.3.1,Adwords UAC Installs,20,30,7,2006.0,M,0.0,0.0
Jq6KQNEHapJH29W9YpsSbw==,2019-06-13 00:41:41+00:00,2019-06-13 00:42:07+00:00,ES,es,iPhone 7 Plus,12.3.1,Organic,20,30,7,2004.0,M,6.82,6.820000171661377
wE9lLHrLJliNMVnsDdX9Xw==,2019-06-13 00:44:03+00:00,2019-06-13 00:45:28+00:00,NO,en,iPhone X,12.2,Facebook Installs,20,30,7,1986.0,F,0.0,0.0
Uw/62sfC6VHIAtbZQp82hg==,2019-06-13 00:44:06+00:00,2019-06-13 00:44:40+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,20,30,7,1997.0,F,0.0,0.0
QYTL7GDtL0l6h02WX+PX/Q==,2019-06-13 00:44:14+00:00,2019-06-13 00:44:44+00:00,CL,es,iPhone 8,12.2,Facebook Installs,20,30,7,1982.0,F,6.76,6.760000228881836
oKeHAPfBRDvtM4DkRB3tcg==,2019-06-13 00:45:35+00:00,2019-06-13 00:46:01+00:00,DK,en,iPhone 7 Plus,12.3.1,Snapchat Installs,20,30,7,2004.0,F,0.0,7.179999828338623
VGhQlBoaHMORXMhOV5U/nQ==,2019-06-13 00:49:27+00:00,2019-06-13 00:49:58+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,60,365,7,2003.0,M,0.0,0.0
CgF5gsLFj5ym9N6ws8WUTQ==,2019-06-13 00:51:21+00:00,2019-06-13 00:52:14+00:00,MX,es,iPhone XS Max,12.3.1,Facebook Installs,20,30,7,2001.0,M,7.0,7.0
TZdtU2PM3SZ24ki9XMgCBQ==,2019-06-13 00:51:56+00:00,2019-06-13 00:52:54+00:00,GB,en,iPhone 7 Plus,12.3.1,Facebook Installs,20,30,7,1994.0,M,0.0,0.0
LbBO05JYv7aIrsDMnpm0AQ==,2019-06-13 00:52:08+00:00,2019-06-13 00:55:53+00:00,IT,en,iPhone 6S Plus,12.3.1,Apple Search Ads,20,30,7,1992.0,F,0.0,0.0
BNfdkfBBbFPqGLx+R8boxQ==,2019-06-13 00:53:34+00:00,2019-06-13 00:54:34+00:00,FR,fr,iPhone 6,12.1.4,Snapchat Installs,20,30,7,,,0.0,0.0
Lm+PFvYQaj3FkYYatxBxIQ==,2019-06-13 00:53:44+00:00,2019-06-13 00:54:29+00:00,CA,fr,iPhone 6S,12.3.1,Facebook Installs,20,30,7,2005.0,M,0.0,0.0
n8nFyTKEG33iLPV2fUX1Jw==,2019-06-13 00:55:57+00:00,2019-06-13 00:56:25+00:00,GB,en,iPhone 8 Plus,12.3.2,Snapchat Installs,20,30,7,1997.0,F,0.0,0.0
22YQaI0ZlZFpCmgWPUQyag==,2019-06-13 00:56:08+00:00,2019-06-14 09:32:20+00:00,US,en,iPhone XR,12.3.1,Snapchat Installs,20,30,7,2000.0,M,0.0,0.0
GU6EI6aR7RcBx5wfAhMMsg==,2019-06-13 00:56:20+00:00,2019-06-13 01:15:52+00:00,GB,en,iPhone 7,12.3.1,Apple Search Ads,20,30,7,1983.0,M,6.63,6.630000114440918
7Dnlbi/lUTtJ6mWgeoAiOw==,2019-06-13 00:57:07+00:00,2019-06-13 00:57:53+00:00,CO,en,iPhone X,12.2,Organic,20,30,7,2003.0,M,0.0,0.0
jRh4aWN76GcHUbTpq+qLww==,2019-06-13 00:58:19+00:00,2019-06-13 00:58:52+00:00,FR,fr,iPhone 7,12.3.1,Facebook Installs,20,30,7,1992.0,M,6.87,6.869999885559082
IuoR/HNye3NlB3kB02RXKQ==,2019-06-13 01:02:49+00:00,2019-06-13 01:03:16+00:00,US,es,iPhone XS Max,12.3.1,Facebook Installs,20,30,7,1979.0,F,7.0,28.0
vQivG6Y4LZBXFEhqCIWznQ==,2019-06-13 01:04:34+00:00,2019-06-13 01:09:59+00:00,AU,en,iPhone X,12.3.1,Facebook Installs,20,30,7,1996.0,M,0.0,0.0
W1Jawci1w3jYC/3KkNJBHg==,2019-06-13 01:05:14+00:00,2019-06-13 01:06:08+00:00,BG,en,iPhone X,12.3.1,Organic,20,30,7,1992.0,M,0.0,0.0
urXj2RiW33CEd4kAMvuMqA==,2019-06-13 01:05:47+00:00,2019-06-13 01:06:42+00:00,US,en,iPhone SE,12.3.1,Snapchat Installs,20,30,7,2000.0,F,0.0,0.0
uONHXMVhLxXfwb5wvk/f4A==,2019-06-13 01:07:18+00:00,2019-06-13 01:07:43+00:00,US,en,iPhone XR,12.3.1,Facebook Installs,20,30,7,2000.0,M,0.0,0.0
pcVdtwa3Gk+6LIn8oQtjag==,2019-06-13 01:10:57+00:00,2019-06-13 01:11:48+00:00,US,en,iPhone 8 Plus,12.3.1,Snapchat Installs,20,30,7,2007.0,M,0.0,0.0
0EJApHYiuOpZ/vEUgVgPqg==,2019-06-13 01:11:40+00:00,2019-06-13 01:12:18+00:00,US,en,iPhone 7 Plus,12.3.1,Organic,20,30,7,1985.0,F,7.0,42.0
WZgOi8G7NbxMc7pEf6g13g==,2019-06-13 01:11:45+00:00,2019-06-13 01:12:09+00:00,US,en,iPhone XS,12.3.1,Facebook Installs,20,30,7,1976.0,M,0.0,0.0
bPsmBFm7SVXrQ7c99cRkxA==,2019-06-13 01:12:19+00:00,2019-06-13 01:13:43+00:00,CN,en,iPhone 8,12.2,Facebook Installs,20,30,7,,,6.76,6.760000228881836
/plOPYLr9z+w9FBQJmZOIg==,2019-06-13 01:13:21+00:00,2019-06-13 01:13:50+00:00,IT,en,iPhone X,12.3.1,Facebook Installs,20,30,7,,,6.79,6.789999961853027
CIBJ/nTIJ7IZuCz+gMoJHg==,2019-06-13 01:14:21+00:00,2019-06-13 01:35:03+00:00,US,en,iPhone 7,12.3.1,Facebook Installs,20,30,7,1965.0,F,0.0,0.0
F+IdlqmBUkg0j+qpuRhF3g==,2019-06-13 01:14:55+00:00,2019-06-13 01:18:50+00:00,BR,en,iPhone SE,12.1.4,Facebook Installs,60,365,7,1990.0,M,0.0,0.0
I6oYe0xv/EOYoIRETSj3/A==,2019-06-13 01:15:20+00:00,2019-06-13 01:16:15+00:00,US,en,iPhone 8 Plus,12.3.1,Facebook Installs,60,365,7,1989.0,F,0.0,21.0
aZn+/j1PWl5t4tu4c7gaEg==,2019-06-13 01:17:17+00:00,2019-06-13 01:18:15+00:00,IT,en,iPhone 8 Plus,12.3.1,Facebook Installs,20,30,7,1992.0,F,6.76,6.760000228881836
g+V5U9uQ4wg8hWSK7Vkwww==,2019-06-13 01:18:57+00:00,2019-06-13 01:20:51+00:00,US,en,iPhone XS Max,12.3.1,Snapchat Installs,60,365,7,1999.0,F,0.0,0.0
BxsgZqtYxgTm0OgWD9yyzg==,2019-06-13 01:20:51+00:00,2019-06-16 07:59:19+00:00,DE,de,iPhone 7,12.3.1,Facebook Installs,60,365,7,,,0.0,0.0
agV88lEAUrzWmdRsHnFgKg==,2019-06-13 01:20:52+00:00,2019-06-13 01:21:28+00:00,GB,en,iPhone 8 Plus,12.2,Facebook Installs,20,30,7,2000.0,F,0.0,0.0
AEpa3Dl9BFcjGWWNrd/5nQ==,2019-06-13 01:22:54+00:00,2019-06-13 01:25:21+00:00,US,en,iPad 4,10.3.3,Snapchat Installs,20,30,7,1986.0,F,7.0,63.0
BPV59GD6yld57IJpnmfsvg==,2019-06-13 01:23:52+00:00,2019-06-13 01:24:40+00:00,AU,en,iPhone 7 Plus,12.2,Facebook Installs,20,30,7,1987.0,M,6.8,13.720000267028809
4St7Sa9eU4ruSR+ycZsovQ==,2019-06-13 01:25:42+00:00,2019-06-13 01:27:29+00:00,US,es,iPhone 7 Plus,12.3.1,Facebook Installs,20,30,7,2014.0,F,0.0,0.0
ArmtcpQmmVvMDrs4ugw4SA==,2019-06-13 01:28:09+00:00,2019-06-13 01:29:14+00:00,US,en,iPhone XS Max,12.3.1,Organic,60,365,7,1983.0,M,0.0,21.0
KcTnbWxSSRjVg3QsrlNp4g==,2019-06-13 01:29:26+00:00,2019-06-13 01:30:02+00:00,US,en,iPhone 7,12.1.2,Snapchat Installs,20,30,7,2003.0,F,7.0,7.0
CXl58W1EN8a7ubO97AC0eQ==,2019-06-13 01:29:29+00:00,2019-06-13 01:29:57+00:00,DE,de,iPhone XS,12.3.1,Facebook Installs,20,30,7,1992.0,M,0.0,6.670000076293945
OzQEMymEr4vEL67SWelD9w==,2019-06-13 01:29:33+00:00,2019-06-15 07:00:07+00:00,US,en,iPhone 7 Plus,12.3.1,Snapchat Installs,20,30,7,2006.0,M,7.0,84.0
IxrsAxuuRFGArN/6jKqPjg==,2019-06-13 01:30:48+00:00,2019-06-13 01:32:20+00:00,BR,en,iPhone XS Max,12.3.1,Facebook Installs,60,365,7,1963.0,M,0.0,0.0
uHS4Af1zAVRYSYQFtWyIfQ==,2019-06-13 01:31:31+00:00,2019-06-13 01:32:18+00:00,US,en,iPhone 7,12.3.1,Apple Search Ads,20,30,7,2014.0,F,0.0,0.0
Uf+R9VaBt4S7ePlGI+hIgA==,2019-06-13 01:31:57+00:00,2019-06-13 01:32:20+00:00,GB,en,iPhone X,12.3.1,Apple Search Ads,20,30,7,1993.0,M,6.63,13.199999809265137
6pL7HtzrkfDVmGc9EZfiiA==,2019-06-13 01:33:12+00:00,2019-06-13 01:33:40+00:00,US,en,iPhone 7,12.3.1,Snapchat Installs,20,30,7,2004.0,M,7.0,0.0
GdFJR7HjFb+xyy6+wk8/4Q==,2019-06-13 01:33:23+00:00,2019-06-13 01:34:03+00:00,GB,en,iPhone X,12.3.1,Facebook Installs,20,30,7,1999.0,M,0.0,0.0
srC6RNF1rfKGuvdBorLpCg==,2019-06-13 01:34:41+00:00,2019-06-13 01:35:13+00:00,PL,de,iPhone 8 Plus,12.3.1,Snapchat Installs,20,30,7,2005.0,F,0.0,0.0
/MUhFlqQIz4mhCxRMz4c/A==,2019-06-13 01:34:59+00:00,2019-06-13 01:35:26+00:00,US,en,iPhone 8,12.3.1,Facebook Installs,20,30,7,2007.0,F,0.0,0.0
Ab57UPv9+R6Flh1UAN8Yqg==,2019-06-13 01:36:00+00:00,2019-06-13 01:36:21+00:00,GB,en,iPhone XS Max,12.2,Snapchat Installs,20,30,7,2001.0,M,0.0,0.0
W5qLDIBp94JSVlpyFYlEwg==,2019-06-13 01:39:30+00:00,2019-06-13 01:40:04+00:00,US,en,iPhone 6S Plus,12.3.1,Facebook Installs,20,30,7,1994.0,M,0.0,0.0
E23oBRBNNVFfvLuxZgsS2w==,2019-06-13 01:40:19+00:00,2019-06-13 01:40:58+00:00,GB,en,iPhone 8 Plus,12.3.1,Facebook Installs,20,30,7,1999.0,F,0.0,0.0
e0WLs5ybCjIx6WeMtWzPSQ==,2019-06-13 01:42:41+00:00,2019-06-13 01:43:54+00:00,GB,en,iPhone 6,12.2,,20,30,7,1991.0,F,0.0,0.0
yAWl+rsxK1BQRohUBospaw==,2019-06-13 01:43:29+00:00,2019-06-13 01:43:53+00:00,US,en,iPhone XR,12.0.1,Snapchat Installs,20,30,7,2001.0,F,7.0,7.0
KvktHFeOxd9IXNCVnreyvA==,2019-06-13 01:44:32+00:00,2019-06-13 01:44:58+00:00,GB,en,iPhone 8,12.3.1,Snapchat Installs,20,30,7,1999.0,F,0.0,0.0
17XztB+4XCk3Dc4E46HCsw==,2019-06-13 01:45:40+00:00,2019-06-13 01:46:25+00:00,CA,en,iPhone 7,12.3.1,Facebook Installs,6,7,7,2004.0,M,0.0,0.0
sAcGDGQBRdMQOlw/AWqzpA==,2019-06-13 01:48:44+00:00,2019-06-13 01:49:18+00:00,US,en,iPhone XS,12.3.1,Facebook Installs,20,30,7,2002.0,F,0.0,0.0
g/VCEitrs62rH/19dKBCaA==,2019-06-13 01:48:50+00:00,2019-06-13 01:49:19+00:00,US,en,iPhone XS Max,12.3.1,Facebook Installs,20,30,7,1998.0,F,0.0,0.0
